@relation incendios

@attribute 'mediasR' numeric
@attribute 'mediasG' numeric
@attribute 'mediasB' numeric
@attribute 'desvStdR' numeric
@attribute 'desvStdG' numeric
@attribute 'desvStdB' numeric
@attribute 'entropiasR' numeric
@attribute 'entropiasG' numeric
@attribute 'entropiasB' numeric
@attribute 'modaBN' numeric
@attribute 'rangosContrasteR' numeric
@attribute 'rangosContrasteG' numeric
@attribute 'rangosContrasteB' numeric
@attribute 'pendienteOscuridad' numeric
@attribute 'pendienteBrillo' numeric
@attribute 'brilloLimpia' numeric
@attribute 'coeficientesCorrelacionR' numeric
@attribute 'coeficientesCorrelacionG' numeric
@attribute 'coeficientesCorrelacionB' numeric
@attribute 'factorContraste' numeric
@attribute 'anisotropiasR' numeric
@attribute 'anisotropiasG' numeric
@attribute 'anisotropiasB' numeric


@attribute 'class' {nada,humo,fuego}
@data
14.280,13.935,16.186,0.673,0.562,0.586,1.359,1.215,1.211,0,6,6,6,208.571,12.116,14,2488.000,1412.000,1396.000,0.071,0.186,0.046,0.155,nada
15.343,14.884,17.114,0.579,0.752,0.523,1.235,1.615,1.117,0,4,6,4,194.133,12.133,15,2008.000,988.000,2560.000,0.067,0.138,0.360,0.500,nada
15.947,15.755,17.851,0.455,0.469,0.356,0.941,0.863,0.607,0,4,4,2,217.000,14.527,16,2904.000,1540.000,2864.000,0.032,4.035,0.670,0.500,nada
16.031,15.969,18.000,0.174,0.174,0.000,0.201,0.201,-0.000,0,2,2,0,255.000,17.071,16,3824.000,3824.000,0.000,0.000,0.500,0.500,0.000,nada
16.048,16.079,18.079,2.156,2.148,2.148,0.463,0.270,0.270,0,206,206,206,247.500,16.569,16,319.000,329.000,329.000,0.928,0.500,0.500,0.500,nada
16.078,15.953,18.173,0.269,0.373,0.518,0.397,0.717,0.608,0,2,4,4,227.000,15.197,16,3440.000,3312.000,3440.000,0.030,0.500,0.404,0.364,nada
15.827,15.733,18.016,0.378,0.442,0.741,0.664,0.837,1.086,0,2,2,6,187.000,12.519,16,2672.000,1904.000,1304.000,0.063,0.500,0.500,0.500,nada
14.884,14.773,17.431,0.557,0.677,0.891,1.196,1.472,1.610,0,6,6,6,167.467,10.467,15,1420.000,1128.000,2032.000,0.067,0.500,0.403,0.363,nada
13.680,13.557,16.243,0.696,0.738,1.012,1.492,1.600,1.899,0,6,8,8,155.429,9.029,14,1068.000,645.000,613.000,0.103,0.043,0.475,0.459,nada
13.490,13.306,15.398,0.774,0.681,0.669,1.652,1.419,1.422,0,8,4,6,137.714,8.000,13,904.000,1296.000,1888.000,0.111,0.291,0.286,0.342,nada
